Date,Added,Removed,Reason,,,,,
09/20/19,2013,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,Market capitalization changes[116],,
AME,Ametek,SAI,SAIC,,,,,
09/10/19,2013,DAL,Delta Air Lines,BMC,BMC Software,BMC taken private by consortium[117],,
07/08/19,2013,NLSN,Nielsen Holdings,S,Sprint Nextel Corp.,Softbank consortium purchase results in public float below 50%[118],,
06/28/19,2013,FOXA,21st Century Fox,APOL,Apollo Group Inc.,Apollo Group's market cap more representative of a mid-cap[119],,
06/21/19,2013,ZTS,Zoetis,FHN,First Horizon,Zoetis spun off by Pfizer[120],,
06/06/19,2013,GM,General Motors,HNZ,H. J. Heinz Company,HNZ acquired by consortium[121],,
05/23/19,2013,KSU,Kansas City Southern,DF,Dean Foods,DF too small after spinoff of White Wave Foods[122],,
05/08/19,2013,MAC,Macerich,CVH,Coventry Health Care,Acquired by Aetna (AET)[123],,
04/30/19,2013,REGN,Regeneron,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile[124],,
02/15/19,2013,PVH,PVH Corp.,BIG,Big Lots Inc.,Market capitalization changes[125],,
12/31/19,2012,ABBV,AbbVie,FII,Federated Investors,ABBV spun off from Abbott Labs (ABT)[126],,
12/21/19,2012,DLPH,Delphi Automotive,TIE,Titanium Metals,TIE acquired by Precision Cast Parts (PCP)[127],,
12/11/19,2012,GRMN,Garmin Ltd.,RRD,R.R. Donnelley,Market capitalization changes[128],,
12/03/19,2012,DG,Dollar General,CBE,Cooper Industries,Acquired by Eaton Corp. (ETN)[129],,
10/10/19,2012,PETM,PetSmart, Inc.,SUN,Sunoco Inc.,Acquired by Energy Transfer Partners (ETP)[130],
10/02/19,2012,KRFT,Kraft Foods Group,ANR,Alpha Natural Resources,Kraft split into two companies[131],,
10/01/19,2012,ADT,ADT Corp,LXK,Lexmark Int'l Inc,Tyco spun off ADT[132],,
10/01/19,2012,PNR,Pentair Ltd.,DV,DeVry, Inc.,Tyco spin-off merged w/Pentair[132],
09/05/19,2012,LYB,LyondellBasell,SHLD,Sears Holding Corporation,SHLD below public float threshold[133],,
07/31/19,2012,ESV,EnscoRowan,GR,Goodrich Corporation,Acquired by United Technologies (UTX)[134],,
07/02/19,2012,STX,Seagate Technology,PGN,Progress Energy Inc,Acquired by Duke Energy (DUK)[135],,
06/29/19,2012,MNST,Monster Beverage,SLE,Sara Lee Corp.,Split up of Sara Lee[136],,
06/05/19,2012,LRCX,Lam Research,NVLS,Novellus Systems,Acquired by Lam Research (LRCX)[137],,
05/21/19,2012,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,Acquired by Google (GOOG)[138],,
05/17/19,2012,KMI,Kinder Morgan,EP,El Paso Corp.,Acquired by Kinder Morgan (KMI)[139],,
04/23/19,2012,PSX,Phillips 66,SVU,Supervalu Inc.,ConocoPhillips spun off Phillips 66[140],,
04/03/19,2012,FOSL,Fossil, Inc.,MHS,Medco Health Solutions Inc.,Acquired by Express Scripts (ESRX)[141],
03/13/19,2012,CCI,Crown Castle International Corp.,CEG,Constellation Energy Group,Acquired by Exelon Corp. (EXC)[142],,
12/31/19,2011,WPX,WPX Energy, Inc.,CPWR,Compuware,Market capitalization changes[143],
12/20/19,2011,TRIP,TripAdvisor Inc.,TLAB,Tellabs Inc.,Expedia Inc. spun off TripAdvisor Inc.[144],,
12/16/19,2011,BWA,BorgWarner Inc.,AKS,AK Steel Holding Corp.,Market capitalization changes[145],,
PRGO,Perrigo Co.,MWW,Monster Worldwide Inc.,,,,,
DLTR,Dollar Tree Inc.,WFR,MEMC Electronic Materials Inc.,,,,,
12/12/19,2011,GAS,AGL Resources Inc.,GAS,Nicor Inc.,Nicor acquired by AGL, which retained the GAS ticker.[146],
11/18/19,2011,CBE,Cooper Industries,JNS,Janus Capital Group,Janus Capital Group’s market capitalization is less than $1.2 billion,,
and is no longer representative of the large cap market space.[147],,,,,,,,
10/31/19,2011,XYL,Xylem Inc.,ITT,ITT Corp.,Spun off from ITT Corp.[148],,
10/14/19,2011,TEL,TE Connectivity Ltd.,CEPH,Cephalon Inc.,Acquired by Teva Pharmaceutical Industries (TEVA).[149],,
09/23/19,2011,MOS,The Mosaic Company,NSM,National Semiconductor Corp.,Acquired by Texas Instruments (TXN).[150],,
07/05/19,2011,ACN,Accenture plc,MI,Marshall & Iisley Corp.,Marshall & Iisley is being bought by Bank of Montreal[151],,
06/30/19,2011,MPC,Marathon Petroleum Corp,RSH,RadioShack Corp.,Market capitalization adjustments.[152],,
06/01/19,2011,ANR,Alpha Natural Resources, Inc.,MEE,Massey Energy Company,Alpha Natural Resources is acquiring Massey Energy in a deal expected to be,
completed on or about that date pending final approvals.[153],,,,,,,,
04/27/19,2011,CMG,Chipotle Mexican Grill,NOVL,Novell, Inc.,Acquired by private equity firms.[154],
04/01/19,2011,BLK,BlackRock,GENZ,Genzyme Corp.,Acquired by Sanofi-aventis (SNY)[155],,
03/31/19,2011,EW,Edwards Lifesciences,Q,Qwest Communications,Acquired by CenturyLink[156],,
02/28/19,2011,COV,Covidien Plc,MFE,McAfee Inc.,Acquired by Intel Corp. (INTC)[157],,
02/25/19,2011,JOY,Joy Global Inc.,AYE,Allegheny Energy Inc.,Acquired by First Energy (FE).[158],,
12/17/19,2010,CVC,Cablevision Systems Corp.,KG,King Pharmaceuticals Inc.,Acquired by Pfizer Inc. (PFE).[159],,
12/17/19,2010,FFIV,F5 Networks Inc.,EK,Eastman Kodak Co.,Market Cap changes.[159],,
